benchmark,exe,dataset,wall_time_sec,user_time_sec,sys_time_sec,exit_code,timestamp
505.mcf_r,mcf_r_base.arm64,test,4.99,4.78,0.04,0,2026-02-06T12:06:28Z
531.deepsjeng_r,deepsjeng_r_base.arm64,test,3.45,3.23,0.05,0,2026-02-06T12:06:33Z
